City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chillicothe,US,39.3331,-82.9824,50.0,93,1,3.58,clear sky
1,Rikitea,PF,-23.1203,-134.9692,79.63,72,62,17.07,broken clouds
2,San Rafael Del Sur,NI,11.8485,-86.4384,75.2,88,20,6.91,few clouds
3,Zabol,AF,32.25,67.25,66.24,22,9,16.98,clear sky
4,Avarua,CK,-21.2078,-159.775,78.8,89,20,5.75,few clouds
5,Mariental,NA,-24.6333,17.9667,86.31,22,0,3.69,clear sky
6,Fairbanks,US,64.8378,-147.7164,19.99,100,1,1.86,clear sky
7,Benghazi,LY,32.1167,20.0667,58.69,51,43,15.97,scattered clouds
8,Megion,RU,61.0296,76.1136,30.2,93,75,4.47,light snow
9,Yagodnoye,RU,62.55,149.6667,-12.37,99,100,2.04,overcast clouds
10,New Norfolk,AU,-42.7826,147.0587,57.99,67,100,1.99,overcast clouds
11,Iqaluit,CA,63.7506,-68.5145,-27.0,62,1,13.8,clear sky
12,Hamilton,US,39.1834,-84.5333,55.0,76,90,8.05,overcast clouds
13,Albany,US,42.6001,-73.9662,55.0,89,94,3.24,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,48.2,66,0,11.5,light rain
15,Longyearbyen,SJ,78.2186,15.6401,24.8,93,75,6.91,light snow
16,Shenjiamen,CN,29.9576,122.298,53.15,77,0,5.59,clear sky
17,Hilo,US,19.7297,-155.09,69.8,73,75,5.75,broken clouds
18,Santa Cruz,BO,-17.8,-63.1667,78.8,78,75,13.8,broken clouds
19,Dongkan,CN,33.9997,119.8308,54.16,66,100,7.9,overcast clouds
20,Broome,US,42.2506,-75.833,55.99,100,90,8.05,overcast clouds
21,Colquechaca,BO,-18.6667,-66.0167,32.5,86,87,2.1,overcast clouds
22,Ilulissat,GL,69.2167,-51.1,-9.4,77,75,3.44,light snow
23,Port Hedland,AU,-20.3167,118.5667,80.6,78,6,5.75,clear sky
24,Erbaa,TR,40.6689,36.5675,37.4,81,75,9.22,broken clouds
25,Busselton,AU,-33.65,115.3333,59.0,80,78,6.91,broken clouds
26,Dingle,PH,10.9995,122.6711,77.32,87,48,7.02,scattered clouds
27,Castro,BR,-24.7911,-50.0119,70.0,84,87,6.8,overcast clouds
28,Nanortalik,GL,60.1432,-45.2371,13.64,54,37,22.35,scattered clouds
29,Dikson,RU,73.5069,80.5464,-6.75,99,61,4.36,broken clouds
30,Ancud,CL,-41.8697,-73.8203,54.0,81,0,5.75,clear sky
31,Nouadhibou,MR,20.931,-17.0347,69.8,73,0,11.5,clear sky
32,Temiscaming,CA,46.7212,-79.0971,46.4,87,97,5.75,overcast clouds
33,Chuy,UY,-33.6971,-53.4616,75.31,70,99,10.09,overcast clouds
34,Jamestown,US,42.097,-79.2353,54.0,82,1,6.02,clear sky
35,Kijang,KR,35.2442,129.2139,51.8,66,0,4.61,clear sky
36,Dzaoudzi,YT,-12.7887,45.2699,87.8,66,0,5.75,light rain
37,Pisco,PE,-13.7,-76.2167,68.0,83,0,4.61,clear sky
38,Yulara,AU,-25.2406,130.9889,78.8,36,0,8.05,clear sky
39,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.2,61,20,2.3,few clouds
40,Matara,LK,5.9485,80.5353,75.34,88,100,6.93,overcast clouds
41,Sosnovo-Ozerskoye,RU,52.5249,111.5418,26.53,89,100,9.82,overcast clouds
42,Hasaki,JP,35.7333,140.8333,51.8,100,75,1.14,light rain
43,Cape Town,ZA,-33.9258,18.4232,86.0,32,0,12.66,clear sky
44,Plaridel,PH,14.8872,120.8572,84.99,74,20,8.05,few clouds
45,Cherskiy,RU,68.75,161.3,-21.12,97,99,2.44,overcast clouds
46,Vicar,ES,36.8316,-2.6427,63.0,82,20,4.61,few clouds
47,Severo-Kurilsk,RU,50.6789,156.125,24.87,77,100,5.75,overcast clouds
48,Saskylakh,RU,71.9167,114.0833,-10.93,100,99,5.48,overcast clouds
49,Emba,KZ,48.8264,58.1442,31.77,92,100,21.05,overcast clouds
50,Gravelbourg,CA,49.8834,-106.5512,32.0,74,100,4.61,overcast clouds
51,Barzas,RU,55.7167,86.3167,30.2,74,0,4.47,light snow
52,Saint-Philippe,RE,-21.3585,55.7679,78.8,89,75,9.22,moderate rain
53,La Rioja,ES,42.25,-2.5,60.8,51,0,8.97,clear sky
54,Roma,US,43.2128,-75.4557,59.0,82,1,5.75,clear sky
55,Neuquen,AR,-38.9516,-68.0591,57.2,72,40,4.61,light rain
56,Anadyr,RU,64.75,177.4833,1.4,85,75,4.47,light snow
57,Gweta,BW,-20.1833,25.2333,87.22,33,86,4.7,light rain
58,Ushuaia,AR,-54.8,-68.3,51.8,58,40,20.71,scattered clouds
59,Kieta,PG,-6.2167,155.6333,79.05,82,100,2.98,overcast clouds
60,East London,ZA,-33.0153,27.9116,69.8,94,75,8.05,light rain
61,Sisimiut,GL,66.9395,-53.6735,-3.48,92,100,11.32,overcast clouds
62,Shizunai,JP,42.3339,142.3669,42.35,91,100,7.02,overcast clouds
63,Pangnirtung,CA,66.1451,-65.7125,-27.4,56,1,2.48,clear sky
64,Erzin,TR,36.9559,36.2,57.0,43,5,18.99,clear sky
65,Nauta,PE,-4.5061,-73.5757,75.96,91,51,0.54,broken clouds
66,Taoudenni,ML,22.6783,-3.9836,83.73,8,0,19.37,clear sky
67,Thunder Bay,CA,48.4001,-89.3168,18.0,73,75,8.05,broken clouds
68,Qaanaaq,GL,77.484,-69.3632,-18.33,54,31,7.67,scattered clouds
69,Inuvik,CA,68.3499,-133.7218,6.8,72,32,9.22,scattered clouds
70,Nikolskoye,RU,59.7035,30.7861,46.4,66,75,8.95,broken clouds
71,Mar Del Plata,AR,-38.0023,-57.5575,69.8,88,90,2.75,light rain
72,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,69,20,4.61,few clouds
73,Antofagasta,CL,-23.65,-70.4,64.4,77,20,4.61,few clouds
74,Faanui,PF,-16.4833,-151.75,83.57,73,100,19.6,overcast clouds
75,Plainview,US,40.7765,-73.4673,54.0,100,90,2.57,mist
76,Thompson,CA,55.7435,-97.8558,-2.2,65,40,6.91,scattered clouds
77,Vaini,TO,-21.2,-175.2,71.6,100,75,3.44,light rain
78,Vardo,NO,70.3705,31.1107,37.4,75,75,13.8,light rain
79,Namibe,AO,-15.1961,12.1522,78.57,71,46,11.45,scattered clouds
80,Tautira,PF,-17.7333,-149.15,78.8,78,75,4.61,light rain
81,Hualmay,PE,-11.0964,-77.6139,70.56,81,100,7.14,overcast clouds
82,Talnakh,RU,69.4865,88.3972,18.01,94,100,4.92,overcast clouds
83,Mataura,NZ,-46.1927,168.8643,50.0,95,75,1.01,broken clouds
84,Viedma,AR,-40.8135,-62.9967,62.47,47,86,10.71,overcast clouds
85,Caravelas,BR,-17.7125,-39.2481,84.92,55,7,3.33,clear sky
86,Puerto Ayora,EC,-0.7393,-90.3518,78.01,91,44,5.35,light rain
87,Hobart,AU,-42.8794,147.3294,59.0,51,99,11.5,overcast clouds
88,Chik,RU,54.9928,82.4311,32.0,69,75,6.71,broken clouds
89,Port Lincoln,AU,-34.7333,135.8667,60.1,66,100,3.4,overcast clouds
90,Portland,US,45.5234,-122.6762,44.01,87,100,5.48,overcast clouds
91,Cidreira,BR,-30.1811,-50.2056,76.87,75,1,15.84,clear sky
92,Kalmunai,LK,7.4167,81.8167,79.0,83,100,5.32,overcast clouds
93,Labytnangi,RU,66.6572,66.4183,30.56,97,100,13.71,snow
94,Progreso,MX,21.2833,-89.6667,78.01,83,75,17.27,broken clouds
95,Bluff,NZ,-46.6,168.3333,50.0,95,100,1.01,overcast clouds
96,Karasjok,NO,69.4719,25.5112,35.6,69,75,14.97,broken clouds
97,Kodiak,US,57.79,-152.4072,35.6,75,1,4.61,clear sky
98,Kapaa,US,22.0752,-159.319,69.8,88,90,3.44,overcast clouds
99,Lata,PT,40.1629,-8.3327,66.0,72,100,5.99,overcast clouds
100,Zhigansk,RU,66.7697,123.3711,-3.12,95,100,14.43,overcast clouds
101,Loreto,MX,22.2667,-101.9667,48.52,32,100,5.75,overcast clouds
102,Port Alfred,ZA,-33.5906,26.891,72.55,75,98,21.36,overcast clouds
103,San Borja,BO,-14.8167,-66.85,74.21,95,98,1.95,overcast clouds
104,Lujiang,CN,31.2581,117.2817,64.0,48,0,8.95,clear sky
105,Yellowknife,CA,62.456,-114.3525,-11.0,77,20,6.91,few clouds
106,Scarborough,GB,54.2797,-0.4044,55.0,64,88,5.99,overcast clouds
107,Ambon,ID,-3.6954,128.1814,78.8,89,20,5.75,few clouds
108,Rocha,UY,-34.4833,-54.3333,71.06,78,100,8.08,heavy intensity rain
109,Kaitangata,NZ,-46.2817,169.8464,55.99,93,45,1.99,scattered clouds
110,Kapit,MY,2.0167,112.9333,74.57,99,100,1.3,moderate rain
111,Tashtyp,RU,52.7939,89.8983,27.72,93,100,2.13,overcast clouds
112,Alyangula,AU,-13.8483,136.4192,82.47,76,99,5.82,overcast clouds
113,Butaritari,KI,3.0707,172.7902,80.94,80,86,14.56,overcast clouds
114,Porto Nacional,BR,-10.7081,-48.4172,82.4,78,20,6.91,few clouds
115,Airai,TL,-8.9266,125.4092,62.55,96,100,1.28,overcast clouds
116,Ostrovnoy,RU,68.0531,39.5131,34.09,96,100,25.84,light snow
117,Sandnessjoen,NO,66.0217,12.6316,42.8,87,75,14.97,broken clouds
118,Chicama,PE,-7.8447,-79.1469,68.0,94,29,10.36,scattered clouds
119,Necochea,AR,-38.5473,-58.7368,61.0,97,100,7.0,light rain
120,Bredasdorp,ZA,-34.5322,20.0403,78.8,53,0,18.41,clear sky
121,Moranbah,AU,-22.0016,148.0466,75.52,56,5,5.08,clear sky
122,Lebu,CL,-37.6167,-73.65,54.45,64,0,17.02,clear sky
123,Atuona,PF,-9.8,-139.0333,79.95,73,83,21.12,light rain
124,Coquimbo,CL,-29.9533,-71.3436,57.2,88,90,4.61,overcast clouds
125,Hithadhoo,MV,-0.6,73.0833,82.78,71,12,9.37,few clouds
126,Port Elizabeth,ZA,-33.918,25.5701,73.4,68,0,17.27,clear sky
127,Hameenlinna,FI,60.996,24.4643,46.99,70,20,12.66,few clouds
128,Ayaviri,PE,-14.8864,-70.5889,45.1,78,39,2.68,scattered clouds
129,Carnarvon,AU,-24.8667,113.6333,75.2,73,100,18.41,overcast clouds
130,Mareeba,AU,-17.0,145.4333,79.0,89,40,2.86,scattered clouds
131,Tasiilaq,GL,65.6145,-37.6368,5.0,72,40,2.3,scattered clouds
132,Norman Wells,CA,65.282,-126.8329,-2.2,71,75,5.75,broken clouds
133,Hami,CN,42.8,93.45,56.84,28,0,7.36,clear sky
134,Ko Samui,TH,9.5357,99.9357,82.4,83,20,9.22,few clouds
135,Mata,PT,40.683,-7.4592,66.0,49,100,5.01,overcast clouds
136,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,63,40,8.41,scattered clouds
137,Betare Oya,CM,5.6,14.0833,85.64,48,100,5.01,overcast clouds
138,Yar-Sale,RU,66.8333,70.8333,26.29,86,100,17.96,overcast clouds
139,Kajaani,FI,64.2273,27.7285,41.0,56,0,12.66,clear sky
140,Iracoubo,GF,5.4802,-53.2011,79.5,80,23,9.46,few clouds
141,Ribeira Grande,PT,38.5167,-28.7,60.8,63,40,13.8,scattered clouds
142,Chiredzi,ZW,-21.05,31.6667,86.27,34,1,6.91,clear sky
143,Tuatapere,NZ,-46.1333,167.6833,50.0,95,100,1.01,overcast clouds
144,Lavrentiya,RU,65.5833,-171.0,0.5,91,98,6.13,overcast clouds
